172.16.201.248 - - [09/Apr/2018:15:28:58 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:28:58 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 842
172.16.201.248 - - [09/Apr/2018:15:30:13 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:30:13 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:30:13 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 968
172.16.201.248 - - [09/Apr/2018:15:30:26 +0530] "OPTIONS /SHW-rest/rest/superadmin/editSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:30:26 +0530] "POST /SHW-rest/rest/superadmin/editSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:30:26 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 966
172.16.201.248 - - [09/Apr/2018:15:30:26 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:31:08 +0530] "OPTIONS /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:31:08 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:31:08 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:31:08 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1093
172.16.201.248 - - [09/Apr/2018:15:31:34 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:31:34 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1199
172.16.201.248 - - [09/Apr/2018:15:31:34 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:31:52 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:31:52 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1293
172.16.201.248 - - [09/Apr/2018:15:31:52 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:32:31 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:32:31 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1421
172.16.201.248 - - [09/Apr/2018:15:32:31 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:33:05 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:33:05 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:33:05 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1535
172.16.201.248 - - [09/Apr/2018:15:34:34 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1538
172.16.201.248 - - [09/Apr/2018:15:34:34 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:34:52 +0530] "OPTIONS /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:34:52 +0530] "POST /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 11
172.16.201.248 - - [09/Apr/2018:15:34:55 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:34:55 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:34:56 +0530] "GET /SHW-rest/rest/candidate/candidatesToBeAssigned HTTP/1.1" 200 12
